0126 Huddinge,Sverigedemokraterna,..,..,..,..,..,..,..,..,368,764,1297,2569
0127 Botkyrka,Moderaterna,4424,6090,8371,8262,8155,6584,8612,7959,7858,4795,10180,12401
0127 Botkyrka,Centerpartiet,6774,6629,4186,2551,1548,1953,1194,945,507,556,1226,1147
0127 Botkyrka,Folkpartiet,3162,5036,4519,1682,4965,4622,3657,2588,1671,4967,2890,2560
0127 Botkyrka,Kristdemokraterna,232,242,282,398,..,592,1793,1072,3243,3327,2537,2110
0127 Botkyrka,Miljöpartiet,..,..,..,584,553,1920,1249,1722,1409,1645,2030,2849
0127 Botkyrka,Socialdemokraterna,12297,15322,16167,15437,15037,13875,12306,16511,13249,14987,14465,14761
0127 Botkyrka,Vänsterpartiet,2149,2320,2768,2482,2306,2632,1736,2265,3917,3573,2710,2943
0127 Botkyrka,Sverigedemokraterna,..,..,..,..,..,..,..,..,167,416,839,2048
0128 Salem,Moderaterna,..,..,..,2339,2207,1888,2240,2282,2270,1543,2980,3558
0128 Salem,Centerpartiet,..,..,..,739,423,420,331,277,164,173,415,528
0128 Salem,Folkpartiet,..,..,..,460,1320,1135,1016,772,470,1442,803,850
0128 Salem,Kristdemokraterna,..,..,..,98,..,172,452,303,878,740,536,496
0128 Salem,Miljöpartiet,..,..,..,158,110,434,351,463,362,386,490,723
0128 Salem,Socialdemokraterna,..,..,..,2636,2627,2400,2103,2793,2356,2819,2412,2086
0128 Salem,Vänsterpartiet,..,..,..,444,378,432,282,414,700,470,343,371
0128 Salem,Sverigedemokraterna,..,..,..,..,..,..,..,..,77,122,215,477
0136 Haninge,Moderaterna,3213,4131,6193,8559,8225,6899,9691,9100,9111,6123,13128,16161
0136 Haninge,Centerpartiet,6539,5588,3933,3213,1852,2078,1438,1416,700,768,1574,1703
0136 Haninge,Folkpartiet,2529,3424,3470,1775,5568,5264,4122,2917,1540,5588,3171,3009
0136 Haninge,Kristdemokraterna,149,166,185,279,..,553,1526,940,3498,3074,2356,1970
0136 Haninge,Miljöpartiet,..,..,..,748,482,1975,1194,1887,1632,1919,2199,3206
0136 Haninge,Socialdemokraterna,10389,11480,13168,15304,15516,14113,12289,16400,13566,15950,13395,12313
0136 Haninge,Vänsterpartiet,2158,1981,2745,2832,2647,2537,1671,2424,4122,3402,2375,2210
0136 Haninge,Sverigedemokraterna,..,..,..,..,..,..,..,..,668,327,913,2524
0138 Tyresö,Moderaterna,2350,3011,4526,5964,5608,5123,6548,6644,7192,4860,9313,10995
0138 Tyresö,Centerpartiet,3306,3034,1955,1616,832,1021,680,689,391,445,1174,1242
0138 Tyresö,Folkpartiet,1828,2489,2239,1025,3381,3261,2456,1947,1233,4104,2252,2200
0138 Tyresö,Kristdemokraterna,104,86,74,140,..,358,961,690,2185,1749,1431,1440
0138 Tyresö,Miljöpartiet,..,..,..,418,383,1169,840,1094,1026,1104,1460,2143
0138 Tyresö,Socialdemokraterna,5411,5878,6432,6982,7453,7052,6278,8211,6939,7860,6321,5616
